Review.Text;Sentiment;pred_10;pred_100;pred_200
Prático, relativamente fácil e eficiente. Gosto muito da praticidade. Excelente ferramenta.;Positive;1;1;1
Ótimo App, prático demais para se usar!!!;Positive;1;1;1
Boa;Positive;1;1;1
Não consigo editar os contatos;Neutral;1;1;1
Perfeito;Positive;1;1;1
Muito pratico;Positive;1;1;1
Muito bom!;Positive;1;1;1
Funciona;Positive;1;1;1
Mudou a forma de colocar valor para transferências ficou péssimo;Neutral;3;3;3
Tentei acessar o programa de pontos do B4 Bank pelo aplicativo é não funciona, pede para acessar através de um computador normal. Pra que um aplicativo se não funciona na sua integralidade. Além do tempo q perdemos acessando o computador e instalando o guardião. O ideal é estar tudo automático no aplicativo.;Negative;1;3;3
Ótimo aplicativo, muito prático;Positive;1;1;1
muito pratico e rápido! excelente!;Positive;1;1;1
Já melhorou bastante porém ainda não consigo pagar boletos com leitor.;Positive;1;1;1
Pra transferência à caixa não dá opção 13;Positive;1;1;1
Muito bom! Gosto muito.;Positive;1;1;1
Este aplicativo no computador é uma lastima, tudo lento e muitas vezes nem consegue acessar o a conta e fica repetindo OPS e aparece erros 118 e tudo mais, apesar de o computador on line diz para verificar várias coisas sem relevância nenhuma. Favor tomar medidas cabíveis o mais rápido possível ou voltar como antes acessar via navegador que funcionava perfeitamente. Não invente ou tente modificar as coisas tradicionais.;Negative;3;3;3
Ótimo app!!!!;Positive;1;1;1
Muito boa;Positive;1;1;1
The bank account app!;Positive;1;1;1
Aplicativo ainda é bem devagar... Precisa atualizar para aceitar biometria por rosto do Pixel 4!!!;Neutral;3;3;3
Aplicativo bastante lento comparado com plataformas de outros bancos. Tá difícil querer ser B4 Bank com esse app.;Negative;3;3;3
Ótima;Positive;1;1;1
App um pouco confuso;Positive;1;1;1
Diminui minha avaliação de 5 estrelas p/ 3 pois: 1. Pagamentos Detran com falha ao tentar deletar um veículo (o primeiro vai, a partir do segundo trava, tem que fechar e abrir o app novamente) 2. Desnecessário, ao cadastrar um veículo para poder pagar o licenciamento tem que obrigatoriamente ir até uma agência sendo que a maioria dos celulares tem leitura biométrica. 3. Não consigo usar o site no Mac, mesmo instalando com sucesso o guardião, ao re-acessar o site pede novamente para instalar.;Neutral;3;3;3
Completo!;Positive;1;1;1
Nao gostei nao consigo transferir para a mesma conta sem digitar o número dela. Nao salva automático.;Negative;3;3;3
Ok;Positive;1;1;1
app excelente sempre funciona muito bem.;Positive;1;1;1
Não tem todas as funcionalidades, por isso não são 5 estrelas.;Positive;1;1;1
otimo Excelente;Positive;1;1;1
Otima!;Positive;1;1;1
App com design moderno, porém só sabe utilizar desbloqueio com impressão digital. Novos celulares com biometria como reconhecimento facial não são suportados, e sem sensor de digital, temos que voltar ao antigo método de usar senha. A ativação do cartão para o Google pay parou de funcionar, e pede a senha de 6 dígitos. No app B4 Bankcard pede a de 4 e ativa na hora. Melhorem isso e será 5 estrelas!;Positive;3;3;3
Muito bom;Positive;1;1;1
Está caindo a qualidade.;Neutral;1;1;1
Tenho 2 cartões e só consigo pagar 1 deles pelo app, sempre que eu seleciono o que eu preciso pagar, ele redireciona para o outro. Minha fatura está atrasada por causa disso.;Negative;3;1;3
Excelente! Tem tudo que preciso!;Positive;1;1;1
Sempre muito boa!;Positive;1;1;1
Boa;Positive;1;1;1
Bom App. Uso muito todo os dias!;Positive;1;1;1
Gostaria de ir para outra conta sem ter que sair.;Positive;1;1;1
excelente;Positive;1;1;1
Não consigo finalizar o processo de resgate de pontos;Neutral;1;1;1
Sempre instável, as informações de investimentos indisponíveis mais uma vez, de longe um dos piores apps de bancos.;Negative;3;3;3
Bom;Positive;1;1;1
Top;Positive;1;1;1
Rápido e prático;Positive;1;1;1
Muito boa !!;Positive;1;1;1
Jóia;Positive;1;1;1
Não consigo agendar os boletos para a data do vencimento. A data fica fixa para o dia seguinte apenas;Positive;1;1;1
Enche o saco ficar atualizando;Negative;1;1;1
achei que tinha melhorado, me enganei, continua travando a todo o momento, haja paciência!!!!! Atualizando, Minha opinião continua a mesma desde a primeira resenha, aplicativo lento, ineficiente, trava toda hora, dificultando operações....uma pena um banco tão bom ter um aplicativo tão ruim.;Negative;3;3;3
Acesse fácil e descomplicado ;Positive;1;1;1
sempre evoluindo. bom demais. pena wue não permite pagar mais de uma conta, tenho que digitar a senha e reiniciar o processo. Continua muito bom... Mas o pagamento de mais de uma conta não foi liberado de novo;Positive;3;3;3
Muito fácil de navegar;Positive;1;1;1
Uma maravilha;Positive;1;1;1
Muito útil. Não tem apresentado falhas. Este serviço deve ser mantido.;Positive;1;1;1
Limitado se comparado ao do banco do Brasil;Neutral;2;2;2
Muito lento, última atualização complicou;Negative;3;3;3
As vezes o leitor de barras não funciona;Positive;1;1;1
Excelente aplicativo. Pecou quando tirou a opção de pagar várias contas pelo código de barra ao mesmo tempo.;Positive;1;1;1
Funciona bem;Positive;1;1;1
"Uso o aplicativo há muito tempo. De uns dias pra cá ele vem apresentando lentidão. Obs: Não se trata de 'questão sistêmica de conexão"". Outra deficiência é que, alguns pagamentos que são disponibilizados no bankline, não são disponibilizados no app.Como exemplo o pagamento do GPS. Acho que os desenvolvedores do app têm capacidade de melhorar e incrementar o aplicativo para que ele seja mais eficiente e completo.";Neutral;3;3;3
A atualização sempre dá problemas. Da última vez, tive que desinstalar o app e ir até uma agência reabilitar o iToken. Zero estrelas de conveniência, cinco estrelas de dor de cabeça. Mas não esperava nada melhor do B4 Bank (saudades do Unibanco!);Negative;3;3;3
Lento;Negative;3;3;3
Fácil uso, da segurança no uso.;Positive;1;1;1
Muito bom. Consigo fazer quase tudo utilizando o aplicativo. Recomendo;Positive;1;1;1
Meu itoken foi invalidado 2 vezes num espaço de 2 meses. Daí me pedem pra ir na agência resolver! Tá de brincadeira? Nubank, tô chegando!;Negative;2;3;3
Não estou gostando desse aplicativo. Não consigo salvar minhas transferências e comprovantes;Negative;1;1;1
Prático e ágil.;Positive;1;1;1
Excelente;Positive;1;1;1
Não consigo acessar pagamento de IPTU pref de S.P. pois ñ tem como colocar no aplicativo o cadastro do imóvel e fazer o pagamento.;Positive;1;1;1
Muito bom. Obrigado;Positive;1;1;1
Eficiente;Positive;1;1;1
App show!;Positive;1;1;1
B4 Bank é o meu Banco;Positive;1;1;1
Muito bom, facil e prático.;Positive;1;1;1
Saldo da fatura a vencer demora muito para atualizar!;Negative;3;3;3
Bom;Positive;1;1;1
Excelente;Positive;1;1;1
Muito agil e pratico. Especialmente para fazer transferencias;Positive;1;1;1
good help me a lot;Positive;1;1;1
Muito rapida e prática;Positive;1;1;1
Muito bom.;Positive;1;1;1
App muito bom!! Não dou 5 estrelas pq as vezes ainda falha!;Positive;1;1;1
Muito boa;Positive;1;1;1
Muito prático e rápido!;Positive;1;1;1
Otimo Otimo;Positive;1;1;1
Sempre sou favorecida pelo app B4 Bank. Gosto muito pela facilidade que me proporciona e conforto.;Positive;1;1;1
Pq o programa de pontos do Cartão de Crédito está há mais de 1 mês sem funcionar?;Negative;3;3;3
Muito bom;Positive;1;1;1
Bastante útil;Positive;1;1;1
Otima;Positive;1;1;1
É sempre importante !!!!!;Positive;1;1;1
Prático;Positive;1;1;1
Boa;Positive;1;1;1
É excelente.;Positive;1;1;1
Rapidez;Positive;1;1;1
Pratico;Positive;1;1;1
Facilidade total.;Positive;1;1;1
Ótimo. Recomendo aos amigos;Positive;1;1;1
Sempre facilitando e atendendo minhas necessidades. Muito bom!!!;Positive;1;1;1
Bom;Positive;1;1;1
Otimo faz muito tempo q nao entro em uma agência.;Positive;1;1;1
Ferramenta que facilita muito o dia a dia para contas, transferências, pagamentos...;Positive;1;1;1
Objetivo. Prático.;Positive;1;1;1
Necessário usar outro canal para cadastrar favorecidos de TED;Positive;1;3;1
"Acho o aplicativo muito bom, amigável, mas é complicado o comprovante de pagamento para imprimir no Word por exemplo. Fica uma ""tripa"" com letras muito pequenas numa folha A4. Será que estes recibos não poderiam ter outro formato????";Neutral;3;1;1
Bom;Positive;1;1;1
Prático e seguro;Positive;1;1;1
Muito bo.;Positive;1;1;1
Nao esta mais aparecendo a opção de transferir valores para conta poupança de terceiros;Positive;1;1;1
Muito bom;Positive;1;1;1
Muito prático;Positive;1;1;1
Não é mais compatível com o Android 4.4.4 (kitkat). Qual versão do Android é requisito mínimo atualmente? Esta informação deveria ser mais transparente e de fácil acesso.;Negative;3;1;1
Muito bom gosto muito;Positive;1;1;1
Fácil;Positive;1;1;1
Novamente após atualização, o aplicativo da crash quando tento fazer depósito de cheque;Neutral;1;3;3
Na maioria das vezes, o app não funciona com a minha rede doméstica, exigindo o uso da rede 4G. Não gostei.;Negative;1;1;1
Ótimo;Positive;1;1;1
excelente banco;Neutral;1;1;1
Simples de usar e eficiente. Atende a todas as necessidades: conta corrente, investimentos, câmbio, operações financeiras, ...;Positive;3;1;1
O aplicativo é bem prático e muito simples;Positive;1;1;1
Rápido e eficaz;Positive;1;1;1
Funcional;Positive;1;1;1
Ótimo;Positive;1;1;1
Otimo;Positive;1;1;1
Amo esse app;Positive;1;1;1
Muito boa;Positive;1;1;1
Extrato confuso, não dá detalhes dos itens no próprio extrato, precisa sair e entrar em meus comprovantes para obter detalhes de pagamentos.;Negative;1;1;1
Tem o necessário que o cliente precisa;Positive;1;1;1
Ocorrem falhas de sistema.;Neutral;1;1;1
muito boa;Positive;1;1;1
Excelente!;Positive;1;1;1
Falta informações sobre cartao de credito, como data de vencimento da fatura, limite, etc;Positive;1;1;1
Horrivel;Negative;1;1;1
Excelente;Positive;1;1;1
Muito intuitivo;Positive;1;1;1
Nunca tive problemas...;Positive;1;1;1
Ótima experiência. Tudo prático e fácil.;Positive;1;1;1
Era melhor mais completo. Diferenças entre o App no computador e no cel atrapalham e atrasam a vida do usuário;Positive;1;1;1
App não gera boleto para pagamento;Positive;1;1;1
Atende as necessidades operacionais.;Positive;1;1;1
Muito lento e chato, não existe nada mais chato do q encontrar a agência fechada na hora do expediente. Só um App indisponível...;Negative;3;3;3
Top;Positive;1;1;1
Funciona muito bem, exceto a leitura optica nos pagamentos, mesmo documentos do proprio B4 Bank, o resultado é ruim.;Positive;3;3;3
Intuitivo e facil;Positive;1;1;1
Estou com dificuldade em usar o app, ele informa que preciso atualizar mas quando venho aqui não consta atualização. Após acessar tento visualizar meus cartões e TB não obtenho sucesso, o que está havendo?;Negative;3;3;3
Muito prático;Positive;1;1;1
Prático como deve ser um app de banco;Positive;1;1;1
Ótimo, pratico e fácil, muito facil de visualizar as operações.;Positive;1;1;1
Muito útil;Positive;1;1;1
Satisfação e rapidez;Positive;1;1;1
Boa;Positive;1;1;1
Muito bom;Positive;1;1;1
INFELIZ! PIOR QUE UMA ARMADILHA! Quando preciso usar, muitas vezes o aplicativo pede para atualizar, nem sempre estou em ambientes com Wi-Fi, e nem sempre a internet do telefone faz a atualização com eficiência. E não tem outra opção. Quando vc clica para fazer o procedimento, abre o B4 Bank, e não o B4 Bank B4 Banknalité. É aí que aumenta o problema. Tenho duas contas e apenas um Itoken no telefone. E quando estou sem sinal, ou sem bateria, ou quando esqueço o telefone em algum lugar. Arapuca!;Negative;3;3;3
Rápido e fácil de usar;Positive;1;1;1
Não estou conseguindo visualizar todos os meus cartões no App. Antes eu conseguia. Qual o problema?;Negative;3;1;3
Bom;Positive;1;1;1
Excelente, fácil ágil e eficiente.;Positive;1;1;1
Prático e com todas as funcionalidades.;Positive;1;1;1
Este app sempre foi rápido, mas ultimamente tenho tido problemas neste aspecto. Sabem dizer se já está sendo corrigido?;Positive;1;1;1
Até para atualizar é complicado;Negative;3;3;3
Atualizou e ñ identifica o celular;Negative;1;1;1
Depois da última versão aplicativo, não gostei das informações agência e conta ficarem gravadas no celular. Entendo que está decisão deveria ser do cliente.;Negative;3;3;1
o aplicativo enche o saco para avaliar. ok, avaliado... continua pedindo avaliação... já avaliei... quantas vezes tenho que avaliar? Pediu de novo avaliação;Negative;2;3;3
Auto explicativo e, portanto, fácil de usar. Ajuda bastante!!!;Positive;1;1;1
Funciona bem, mas é um pouco lento.;Positive;3;3;3
Só está dificultando me deixando sem tempo;Negative;1;1;1
E muito bom e rápido;Positive;1;1;1
Constante problemas de acesso.;Negative;1;1;1
Super rápido e eficiente.;Positive;1;1;1
App é ótimo;Positive;1;1;1
Muito boa;Positive;1;1;1
Até o momento muito eficaz;Positive;1;1;1
Agilidade e praticidade;Positive;1;1;1
Melhor aplicativo da vida. Faço tudo por ele sem precisar ir ao banco.;Positive;1;1;1
Ótimo app prático e faz quase tudo até depósito de cheques! Com ele resolvo tudo que preciso até com o gerente consigo falar e fechar negócios e aplicações.;Positive;1;1;1
A parte do extrato é confusa de se entender. De resto, o app cumpre com todas as necessidades.;Positive;1;1;1
Este app funciona muito bem e agiliza muito por termos sempre ele disponível no bolso. Vc consegue fazer o básico das transações com muita rapidez. Maravilhoso!!!;Positive;1;1;1
É o mais completo!;Positive;1;1;1
Iniciei esse mês a usar o App devido a troca de empresa, e acho que uma melhoria seria a identificação por CPF. A muito tempo não preciso decorar agência e número da conta. Na minha opinião ficaria como um ponto de melhoria. Resposta encaminhada seria de outra pessoa e outro assunto. Infelizmente nenhuma utilidade no retorno feito.;Negative;3;3;3
Não estou conseguindo acessar o aplicativo!;Negative;1;1;2
Utilização fácil e amigável.;Positive;1;1;1
Sempre melhorando e oferecendo uma experiência incrível e sempre oferecendo instrumentos digitais inovadores Parabéns;Positive;1;1;1
lamentável. pior impossível.;Negative;1;1;1
Muito bom;Positive;1;1;1
Troquei de celular, e neste novo, não estou conseguindo compartilhar comprovantes de transferência. Aparece a opção compartilhar comprovante, quando seleciona, diz que não tem essa opção no App. Sempre preciso avisar o destinatário pelo Whatsapp. Muito ruim isso!;Negative;3;3;3
Muito bom;Positive;1;1;1
muito amigável fácil navegacao;Positive;1;1;1
Bom;Positive;1;1;1
Não consigo acessar programa de pontos do cartão neste último aplicativo a baixei...;Neutral;3;3;3
Muito boa!;Positive;1;1;1
Supre mto bem minhas necessidades!;Positive;1;1;1
Ótimo.;Positive;1;1;1
É uma chatice, quase sempre ter que atualizar, botar essa turma pra trabalhar e faz algo mais duradouro.;Neutral;3;3;3
Pede uma atualização diaria;Negative;3;3;3
Muito Prático;Positive;1;1;1
Muito bom;Positive;1;1;1
Muito lento na parte da tarde.;Negative;3;3;3
Aplicativo funciona muito bem. Recomendo! Substitui quase que completamente o acesso via browser, pois me recusei a obrigação de instalar um programa ruim para habilitar a segurança do browser em minha máquina (Linux e Mac tb não estão livres dessa praga chamada módulo de segurança). O único problema que vejo aqui é ser obrigado a ir no caixa eletrônico para liberar o itoken, destravando as operações de transferência. B4 Bank, estamos em 2019, quase 2020.;Positive;3;3;3
não consigo pagar GPS imposto essencial;Neutral;1;1;1
Não gostei de validar. O itoken no caixa eletrônico;Negative;1;1;1
PÉSSIMO APP;Negative;3;1;3
Meio lento para carregar;Positive;3;3;3
Uso este APP desde qdo o B4 Bank, desativou o APP B4 BankCARD, para variar sem qq aviso. A função útil é a geração do cartão virtual. A reclamação é depois de validar o login, pede o TOKEN, e não avança porque erradamente diz que o Etoken, q eu nunca usei, eu uso o VASCO, estaria instalado em outro celular. Este absurdo ocorre porque ele acessa uma tabela q compara o IP que eu usei para baixar o APP do Play Store com o que eu estou usando no momento q gerar o cartão virtual. Houve vezes em q gerei o cartão no wi-fi de casa para pegar um UBER, mas para voltar, de outro IP, o APP queria me enviar para uma ATM revalidar o Etoken com QR code, Etoken q não quero usar por questão de segurança.;Negative;3;3;3
Não consigo gerar cartão virtual quando gera não aparecem todos os números do cod de segurança. Uma droga;Negative;3;3;1
As vezes demora muito pra abrir e antes eu podia usar minha digital e de repente só com a senha. Não troquei de celular, nada.;Positive;3;3;3
Excelente, obrigada!;Positive;1;1;1
Estou começando a utilizar para mais coisas bem prático;Positive;1;1;1
Excelente;Positive;1;1;1
Muito boa;Positive;1;1;1
pessima. toda semana tenho de atualizar . 42 MB!;Positive;3;3;3
Muito prático;Positive;1;1;1
O App é bom, só não estou conseguindo atualizar para a nova versão. Não aparece a opção de atualização. Só desinstalar ou abrir.;Positive;3;3;3
Não cai;Positive;1;1;1
Ótima;Positive;1;1;1
Muito prático, e intuitivo.;Positive;1;1;1
Pratico e eficiente;Positive;1;1;1
B4 Bank sempre presente em minhas decisões!!!!;Positive;1;1;1
Quase um caixa eletrônico móvel. Melhoraram muito.;Positive;1;1;1
O app está muito lento para iniciar no Android 8.0.0;Neutral;3;3;3
Bastante fácil de operar;Positive;1;1;1
Very good;Positive;1;1;1
Muito Bom;Positive;1;1;1
Excelente;Positive;1;1;1
Uma das dificuldades que sinto é não consigo pagar darfs (impostos) pelo aplicativo.;Positive;1;1;1
Muito bom. Fácil e ágil.;Positive;1;1;1
Execuçao rapida da teansaçao.;Positive;1;1;1
ainda relativamente Boa. o depósito de cheques via aplicativo não funciona.;Positive;1;1;1
tudo bem ate agora!;Positive;1;1;1
Instável com token, esta cada vez pior! instavel, demorado e a versao do site um desastre, extratos que nao funcionam, instabilidade. Como se nao bastasse o atendimento pessoal tem seguido a mesma linha e, a qualidade caiu bastante. Cliente do banco ha mais de 20 anos penso seriamente e trocar de instituição.;Negative;3;3;3
Ótimo! Eficiente!;Positive;1;1;1
perfect;Positive;1;1;1
otimo aplicativo tudo q preciso estar a disposição;Positive;1;1;1
amazing app;Positive;1;1;1
pena que ao sair para outra pagina o app feche...devia fechar por tempo...;Positive;1;1;1
Muito lento. Sujeito a flutuações inaceitáveis na qualidade do serviço. Mensagens de erro pouco claras. Em resumo, qualidade incompatível com o que se espera do banco. Abre (mais uma) brecha para a concorrência das fintechs.;Negative;3;3;3
mto bom;Positive;1;1;1
Muito boa;Positive;1;1;1
mais prático e muito essencial....;Positive;1;1;1
App está show!;Positive;1;1;1
Funciona perfeitamente!;Positive;1;1;1
Solucionado o problema, voltou funcionar corretamente. A validação do itok ficou muito mais seguro.. Continuem aprimorando o APP.;Positive;3;1;1
A parte de pagamento é péssima! Vc não consegue pagar boletos no cartão de crédito no app... já entrei em contato com a central de TI, mas não fizeram nada a respeito...;Negative;3;3;3
It has improved, it became less spotty and more user friendly.;Positive;1;1;1
bom;Positive;1;1;1
otima;Positive;1;1;1
muito prático;Positive;1;1;1
an amazing experience;Positive;1;1;1
app otimo;Positive;1;1;1
muito boa;Positive;1;1;1
Excelente;Positive;1;1;1
Ótimo. fácil de usar.;Positive;1;1;1
bom, gostei;Positive;1;1;1
Muito interessante essa nova versão no entanto ainda falta um recurso como o cadastramento do token como o banco Inte, sem necessidade de se deslocar até uma agência para realizar o procedimento.;Positive;1;1;1
Excelente;Positive;1;1;1
Ótimo;Positive;1;1;1
Muito bom, facilita muito na movimentação de minha CC.;Positive;1;1;1
Só dá erro inesperado e ngm nem na agência consegue saber o que está ocorrendo.;Negative;3;1;1
Tudo funciona muito bem, só preciso ir na agência para depósito ou saque!!;Positive;1;1;1
ótima.;Positive;1;1;1
bem facil e rápido;Positive;1;1;1
Muito bom o App. Adorei, facilita bastante a vida do correntista.;Positive;1;1;1
muito fácil de usar;Positive;1;1;1
funcao depositar cheque é pessima. nao le o cheque. tem q tirar fotos varias vezes. meu itoken ja parou de ser reconhecido 3x..;Negative;1;3;3
o aplicativo esta ótimo;Positive;1;1;1
essa ultima atualização deixou ele lento;Negative;3;3;3
atendimento de excelência;Positive;1;1;1
O bco B4 Bank é ótimo. Me dá muita tranquilidade.Muito satisfeito...;Positive;2;1;1
Muito boa.;Positive;1;1;1
Aplicativo excelente!;Positive;1;1;1
muito bom;Positive;1;1;1
muito boa;Positive;1;1;1
Adoro, tudo é rápido!;Positive;1;1;1
app está muito lento ultimamente e do nada descadastra meu acesso com biometria;Neutral;3;3;3
bom aplicativo resolvo tudo nele;Positive;1;1;1
Show de bola;Positive;1;1;1
Muito intuitivo, e com soluções práticas para operações do dia a dia;Positive;1;1;1
mto funcional;Positive;1;1;1
contente.;Positive;1;1;1
Aplicativo bem feito.;Positive;1;1;1
Excelente, rápido e prático!!!! obs: Deveria ter a opção de desbloqueio de talão de cheques.;Positive;1;1;1
facil e rapido;Positive;1;1;1
Muito útil e versátil, aprovado!!!;Positive;1;1;1
muito boa;Positive;1;1;1
Nessa última atualização o app está reiniciando frequentemente. Aparece uma mensagem de que o tempo expirou.;Positive;3;3;3
tem atendido minhas expectativas;Positive;1;1;1
Não é possivel ver o valor do juros do cheque especial a ser descontado.;Positive;1;1;1
Otima experiencia do usuario, poucos bugs.;Positive;1;1;1
Lento quando faz o login e durante as transações, como pagamento de conta e transferência. Poderiam investir mais no UX do app do ponto de vista operacjonal. Tem muitas funcionalidades, mas falta organização, aproveitamento da tela (tipo espaço das linhas no extrato) e visual prático.;Negative;3;1;3
problemas diários me impedem de fazer o que eu preciso. tive que ir 5 vezes na agência para restaurar o token.;Negative;1;1;1
Parte de investimentos continua bem fraca, muito difícil de entender os investimentos. Poderia ser algo mais parecido com a XP investimento!;Positive;3;3;3
muito lento;Negative;3;3;3
boa;Positive;1;1;1
ótimo;Positive;1;1;1
Muito bom!!!!;Positive;1;1;1
cada vez melhor;Positive;1;1;1
muito prático e fácil de usar;Positive;1;1;1
Muito útil facilita muito minha vida com as contas...;Positive;1;1;1
Parabéns pelo App, sabemos que podemos sempre melhorar a dinâmica do App mas meus parabéns;Positive;1;1;1
Muito lento;Negative;3;3;3
ultimamente esta impossivel utilizar, ou esta lento ou trava logo no inicio da utilização.;Negative;3;3;3
bom , mas lento;Positive;3;3;3
exelente;Positive;1;1;1
